lr,epochs,batch_size,length
0.0399288778495815,347,103,400
0.0300440828183511,557,27,400
0.0232328201523104,467,32,400
0.0327189794109682,245,97,400
0.0469583590962796,201,127,400
0.0310653347265719,689,17,400
0.00164159003955,620,61,167
0.0028099503290739,979,42,156
0.0049850185093746,695,59,227
0.049169928847436,573,112,400
0.0005,1000,128,148
0.0005,1000,16,186
0.0005,200,128,205
0.0186464782955004,499,25,400
0.0187347172311524,708,110,400
0.0407406043885729,278,27,400
0.0424128773758144,907,96,400
0.0038879280526757,407,127,124
0.0005,938,124,157
0.0005,372,29,166
0.0060097245448824,344,128,170
0.0005,906,128,163
0.0046193688763826,961,128,296
0.0005,200,16,224
0.0005,239,106,240
0.0071185082177643,200,16,400
0.0005,634,16,168
0.0005,1000,68,178
0.0038495241036221,402,128,169
0.0005,645,128,166
0.0005,745,76,172
0.0044050181504226,200,128,171
0.0037584773137016,1000,16,400
0.0268170609129666,852,90,400
0.0171743014705429,696,64,400
0.0085512831990373,503,115,212
0.0182129704222131,623,21,400
0.0117767182410711,719,51,400
0.0005,200,89,294
0.0005,857,42,149
0.0005,1000,44,156
0.0058588476647941,200,104,291
0.0005,654,128,124
0.0005,726,43,136
0.0005,644,128,158
0.0005,699,39,181
0.0005,1000,52,193
0.0005,925,103,171
0.0005,700,48,165
0.05,1000,16,400
0.0399288778495815,347,103,400
0.0300440828183511,557,27,400
0.0232328201523104,467,32,400
0.0327189794109682,245,97,400
0.0469583590962796,201,127,400
0.0310653347265719,689,17,400
0.00164159003955,620,61,153
0.0028099503290739,979,42,200
0.0049850185093746,695,59,202
0.049169928847436,573,112,400
0.0111787858984117,200,128,219
0.0028825576255462,957,68,188
0.0022607862430089,502,128,163
0.0005,721,116,174
0.0005,340,47,225
0.0020816367667581,767,51,152
0.0121064668713945,1000,128,334
0.0005,774,31,157
0.0018674421157767,797,53,142
0.0019028435072367,796,53,138
0.0019471612865362,795,53,177
0.0026919085326693,443,128,157
0.0005,815,34,157
0.0005,761,128,222
0.0005,789,52,208
0.0005,662,31,217
0.0029091260438237,444,128,165
0.0005,1000,98,164
0.0005,512,128,162
0.0005,1000,41,191
0.0020421335791054,812,65,169
0.0005,1000,111,126
0.0340044339808006,1000,128,400
0.05,200,16,400
0.0005,1000,110,189
0.0005,1000,88,166
0.0036913691497153,413,128,116
0.0043046078330126,437,128,197
0.0005,529,128,184
0.0005,818,56,193
0.0037717550690001,200,128,232
0.0005,778,101,175
0.002931859408025,536,128,115
0.0032391632718975,553,128,161
0.0030713936303424,546,128,216
0.0005,830,66,171
0.0221808610512633,200,128,400
0.0005,1000,76,155
0.0005,812,57,136
0.0005,815,61,162
0.0399288778495815,347,103,400
0.0300440828183511,557,27,400
0.0232328201523104,467,32,400
0.0327189794109682,245,97,400
0.0469583590962796,201,127,400
0.0310653347265719,689,17,400
0.00164159003955,620,61,222
0.0028099503290739,979,42,313
0.0049850185093746,695,59,291
0.049169928847436,573,112,400
0.0005,805,78,151
0.0005,693,91,194
0.0005,855,69,172
0.0005,844,66,165
0.0005,828,63,162
0.0005,1000,79,195
0.0005,646,128,213
0.0005,768,55,151
0.0005,766,55,186
0.0066708932030005,531,128,197
0.0005,779,55,148
0.0005,774,54,185
0.0395902250493741,1000,16,400
0.0005,573,16,143
0.0005,604,16,217
0.0005,836,73,171
0.0005,763,53,194
0.05,1000,128,400
0.0087915261754374,203,128,400
0.0141122672621388,200,128,400
0.001632003622083,892,128,153
0.0016272157217439,875,128,182
0.003175429546243,413,16,400
0.0005,695,128,174
0.0005,737,91,155
0.0005,738,91,161
0.0084380445117354,997,128,222
0.0017692574222423,884,89,152
0.0020250627522429,778,97,144
0.0016380254386195,1000,87,207
0.004881534625675,522,128,177
0.0024780926569144,691,98,186
0.0018879504868703,634,128,157
0.0018962942526468,630,128,172
0.0016473640493747,808,83,144
0.0016233107332566,813,82,195
0.0360093870382958,200,16,400
0.0027716243303026,660,128,160
0.0005,748,89,192
0.002879796554066571,659,128,231
